IncidentNumber,CalYear_mob,HourOfCall_mob,ResourceMobilisationId_mob,Resource_Code_mob,PerformanceReporting_mob,DateAndTimeMobilised_mob,DateAndTimeMobile_mob,DateAndTimeArrived_mob,TurnoutTimeSeconds_mob,TravelTimeSeconds_mob,AttendanceTimeSeconds_mob,DateAndTimeLeft_mob,DateAndTimeReturned_mob,DeployedFromStation_Code_mob,DeployedFromStation_Name_mob,DeployedFromLocation_mob,PumpOrder_mob,PlusCode_Code_mob,PlusCode_Description_mob,DelayCodeId_mob,DelayCode_Description_mob,DateOfCall_inc,TimeOfCall_inc,IncidentGroup_inc,StopCodeDescription_inc,SpecialServiceType_inc,PropertyCategory_inc,PropertyType_inc,AddressQualifier_inc,Postcode_full_inc,Postcode_district_inc,UPRN_inc,USRN_inc,IncGeo_BoroughCode_inc,IncGeo_BoroughName_inc,ProperCase_inc,IncGeo_WardCode_inc,IncGeo_WardName_inc,IncGeo_WardNameNew_inc,Easting_m_inc,Northing_m_inc,Easting_rounded_inc,Northing_rounded_inc,Latitude_inc,Longitude_inc,FRS_inc,IncidentStationGround_inc,FirstPumpArriving_AttendanceTime_inc,FirstPumpArriving_DeployedFromStation_inc,SecondPumpArriving_AttendanceTime_inc,SecondPumpArriving_DeployedFromStation_inc,NumStationsWithPumpsAttending_inc,NumPumpsAttending_inc,PumpCount_inc,PumpHoursRoundUp_inc,Notional Cost (£)_inc,NumCalls_inc,name,station_latitude,station_longitude,Date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
000003-01012020,2020,0,5547476,G232,1,01/01/2020 00:06:30,01/01/2020 00:07:48,01/01/2020 00:11:54,78.0,246.0,324,01/01/2020 00:33:14,,G23,Hillingdon,Home Station,1,Initial,Initial Mobilisation,,,01 Jan 2020,00:06:30,Fire,Primary Fire,,Non Residential,Private Garden Shed ,On land associated with building,,UB8,0,21402055,E09000017,HILLINGDON,Hillingdon,E05013566,Colham & Cowley,Colham & Cowley,,,506750,181550,,,London,Hillingdon,324.0,Hillingdon,292.0,Hillingdon,1.0,2.0,2.0,1.0,339.0,3.0,Hillingdon,51.5268488,-0.4387171,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000376-01012020,2020,16,5547979,G391,1,01/01/2020 16:01:50,01/01/2020 16:02:52,01/01/2020 16:06:22,62.0,210.0,272,01/01/2020 17:15:47,,G39,Feltham,Home Station,1,Initial,Initial Mobilisation,,,01 Jan 2020,16:01:50,Fire,Primary Fire,,Dwelling,Licensed House in Multiple Occupation - Up to 2 storeys ,Correct incident location,,TW4,0,21500778,E09000018,HOUNSLOW,Hounslow,E05013622,Hounslow Heath,Hounslow Heath,,,512350,174950,,,London,Feltham,272.0,Feltham,287.0,Feltham,1.0,2.0,2.0,3.0,1017.0,2.0,Feltham,51.4610267,-0.4136452,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000376-01012020,2020,16,5547978,G392,2,01/01/2020 16:01:50,01/01/2020 16:03:22,01/01/2020 16:06:37,92.0,195.0,287,01/01/2020 17:44:11,,G39,Feltham,Home Station,2,Initial,Initial Mobilisation,,,01 Jan 2020,16:01:50,Fire,Primary Fire,,Dwelling,Licensed House in Multiple Occupation - Up to 2 storeys ,Correct incident location,,TW4,0,21500778,E09000018,HOUNSLOW,Hounslow,E05013622,Hounslow Heath,Hounslow Heath,,,512350,174950,,,London,Feltham,272.0,Feltham,287.0,Feltham,1.0,2.0,2.0,3.0,1017.0,2.0,Feltham,51.4610267,-0.4136452,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000375-01012020,2020,16,5547977,H262,1,01/01/2020 16:00:40,01/01/2020 16:02:08,01/01/2020 16:04:22,88.0,134.0,222,01/01/2020 16:48:16,,H26,Addington,Home Station,1,Initial,Initial Mobilisation,,,01 Jan 2020,16:00:40,Special Service,Special Service,Hazardous Materials incident,Dwelling,House - single occupancy ,Correct incident location,,CR0,0,20501802,E09000008,CROYDON,Croydon,E05011471,NEW ADDINGTON SOUTH,NEW ADDINGTON SOUTH,,,538050,162350,,,London,Addington,222.0,Addington,,,1.0,1.0,1.0,1.0,339.0,1.0,Addington,51.3525455,-0.0253693,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000372-01012020,2020,15,5547976,F331,2,01/01/2020 15:56:55,01/01/2020 15:58:10,01/01/2020 16:01:23,75.0,193.0,268,01/01/2020 16:14:33,,F33,Whitechapel,Home Station,2,Initial,Initial Mobilisation,,,01 Jan 2020,15:56:55,False Alarm,False alarm - Good intent,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,E1,0,22700878,E09000030,TOWER HAMLETS,Tower Hamlets,E05009317,Bethnal Green,Bethnal Green,,,535350,182250,,,London,Bethnal Green,167.0,Bethnal Green,268.0,Whitechapel,2.0,2.0,2.0,1.0,339.0,2.0,Bethnal Green,51.5286908,-0.0488381,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000372-01012020,2020,15,5547975,F261,1,01/01/2020 15:56:55,01/01/2020 15:57:42,01/01/2020 15:59:42,47.0,120.0,167,01/01/2020 16:22:29,,F26,Bethnal Green,Home Station,1,Initial,Initial Mobilisation,,,01 Jan 2020,15:56:55,False Alarm,False alarm - Good intent,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,E1,0,22700878,E09000030,TOWER HAMLETS,Tower Hamlets,E05009317,Bethnal Green,Bethnal Green,,,535350,182250,,,London,Bethnal Green,167.0,Bethnal Green,268.0,Whitechapel,2.0,2.0,2.0,1.0,339.0,2.0,Bethnal Green,51.5286908,-0.0488381,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000371-01012020,2020,15,5547974,A231,1,01/01/2020 15:56:41,01/01/2020 15:57:11,01/01/2020 16:00:03,30.0,172.0,202,01/01/2020 16:03:32,,A23,Euston,Home Station,1,Initial,Initial Mobilisation,,,01 Jan 2020,15:56:41,False Alarm,AFA,,Non Residential,Medical/health centre,Within same building,WC1E 6AG,WC1E,5163365,20400955,E09000007,CAMDEN,Camden,E05013653,Bloomsbury,Bloomsbury,529471.0,182118.0,529450,182150,51.5231485698,-0.1351660384,London,Euston,202.0,Euston,,,1.0,1.0,1.0,1.0,339.0,1.0,Euston,51.5265322,-0.1366103,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000369-01012020,2020,15,5547970,F282,1,01/01/2020 15:51:52,01/01/2020 15:53:29,01/01/2020 15:57:45,97.0,256.0,353,01/01/2020 16:05:43,,F28,Homerton,Home Station,1,Initial,Initial Mobilisation,,,01 Jan 2020,15:51:52,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E8,0,20900310,E09000012,HACKNEY,Hackney,E05009372,HACKNEY CENTRAL,HACKNEY CENTRAL,,,534150,185050,,,London,Homerton,353.0,Homerton,,,1.0,1.0,1.0,1.0,339.0,1.0,Homerton,51.548137,-0.0482279,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000367-01012020,2020,15,5547967,E291,1,01/01/2020 15:46:03,01/01/2020 15:46:13,01/01/2020 15:47:06,10.0,53.0,63,01/01/2020 16:01:39,,E29,Lee Green,Home Station,1,Initial,Initial Mobilisation,,,01 Jan 2020,15:46:03,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,SE12 8RN,SE12,100023232107,22005070,E09000023,LEWISHAM,Lewisham,E05013726,Lee Green,Lee Green,539906.0,174909.0,539950,174950,51.4558865454,0.0123031652,London,Lee Green,63.0,Lee Green,,,1.0,1.0,1.0,1.0,339.0,1.0,Lee Green,51.45612550000001,0.012794,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
000366-01012020,2020,15,5547966,E412,1,01/01/2020 15:40:19,01/01/2020 15:41:43,01/01/2020 15:46:50,84.0,307.0,391,01/01/2020 15:55:02,,E41,Orpington,Home Station,1,Initial,Initial Mobilisation,12.0,Not held up,01 Jan 2020,15:40:18,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,Open land/water - nearest gazetteer location,BR6 8EP,BR6,100020465825,20303011,E09000006,BROMLEY,Bromley,E05013997,Farnborough & Crofton,Farnborough & Crofton,543837.0,165257.0,543850,165250,51.3681709177,0.0649334583,London,Orpington,391.0,Orpington,,,1.0,1.0,1.0,1.0,339.0,1.0,Orpington,51.37004210000001,0.115663,2020-01-01,7.0,2.7,5.4,6.5,1.4,4.5,3.6,88.2,0.001,100.0,4.17,rain,0.0,0.0,,8.6,144.8,1029.4,92.8,5.4,8.8,0.7,0,,2020-01-01 08:06:17,2020-01-01 16:01:35,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
