station_latitude,station_longitude,FirstPumpArriving_DeployedFromStation_inc
51.4381207,-0.1626161,Tooting
51.5630084,-0.0158874,Leyton
51.5896055,-0.0282657,Walthamstow
51.51298800000001,-0.1296011,Soho
51.5226354,-0.2130468,North Kensington
51.5982135,0.224169,Harold Hill
51.5624368,-0.1174031,Holloway
51.5569946,-0.1457171,Kentish Town
51.5268488,-0.4387171,Hillingdon
51.5206827,0.0318764,Plaistow
51.5321042,0.1032876,Barking
51.5110509,-0.374716,Southall
51.45612550000001,0.012794,Lee Green
51.5444316,-0.2365411,Willesden
51.5526101,-0.190027,West Hampstead
51.60363419999999,-0.2976485,Stanmore
51.451638,-0.0168358,Lewisham
51.4980577,-0.0259217,Millwall
51.50966709999999,-0.0875861,Dowgate
51.6287664,-0.1276211,Southgate
51.5887194,-0.2283786,Hendon
51.3322052,-0.1244768,Purley
51.4850133,-0.0337326,Deptford
51.5260219,-0.0886877,Shoreditch
51.58668520000001,-0.1276433,Hornsey
51.4925355,-0.1215369,Lambeth
51.48735019999999,0.0266793,East Greenwich
51.3622521,-0.1476364,Wallington
51.427203,0.0938502,Sidcup
51.5112876,-0.3169384,Ealing
51.386001,-0.0626833,Woodside
51.562347,0.0899382,Ilford
51.5587853,0.1570539,Dagenham
51.4958235,-0.4311965,Hayes
51.5242269,0.057323,East Ham
51.52070080000001,-0.181137,Paddington
51.4640906,-0.1415365,Clapham
51.43691140000001,-0.1050727,West Norwood
51.5621716,-0.0765411999999999,Stoke Newington
51.6601155,-0.0513034,Enfield
51.6284753,-0.0059581,Chingford
51.3698298,-0.2107315,Sutton
51.5823113,-0.4318809,Ruislip
51.4864648,-0.1714008,Chelsea
51.4138105,-0.3006544,Kingston
51.4856881,-0.0707807999999999,Old Kent Road
51.5540601,-0.3601201,Northolt
51.36953829999999,-0.104952,Croydon
51.548137,-0.0482279,Homerton
51.4999151,-0.1960271,Kensington
51.6061491,0.1027589,Hainault
51.4742085,-0.0135332,Greenwich
51.47484919999999,-0.2064386,Fulham
51.4625938,0.1537688,Bexley
51.49561740000001,-0.2242547,Hammersmith
51.5433581,0.011352,Stratford
51.40715609999999,-0.1212236,Norbury
51.6079511,0.0370549,Woodford
51.627017,-0.0689132,Edmonton
51.4738692,-0.0779786,Peckham
51.6469946,-0.1858426,Barnet
51.5265322,-0.1366103,Euston
51.560731,0.008567,Leytonstone
51.4563104,-0.2037278,Wandsworth
51.5978364,-0.1793771,Finchley
51.5340292,-0.1052483,Islington
51.4610267,-0.4136452,Feltham
51.5006476,-0.0712207,Dockhead
51.39224600000001,-0.2980157,Surbiton
51.4917672,-0.2635207,Chiswick
51.5024329,-0.281742,Acton
51.5930371,-0.0741508,Tottenham
51.4067418,0.0165016,Bromley
51.5108798,-0.0157058,Poplar
51.4848359,0.1549291,Erith
51.4356845,-0.3489168,Twickenham
51.4793526,-0.4329609,Heathrow
51.4740452,-0.0474287,New Cross
51.5364888,-0.2667526,Park Royal
51.5151377,-0.0690679,Whitechapel
51.4871665,0.0908779,Plumstead
51.4153003,-0.1970306,Wimbledon
51.37004210000001,0.115663,Orpington
51.4637795,-0.1092369,Brixton
51.3525455,-0.0253693,Addington
51.4076586,-0.0334288,Beckenham
51.4686848,-0.2786973,Richmond
51.5517119,-0.3044898,Wembley
51.466772,-0.1695098,Battersea
51.5286908,-0.0488381,Bethnal Green
51.5844749,-0.3585939,Harrow
51.5108113,-0.052626,Shadwell
51.61509119999999,-0.2434717,Mill Hill
51.45769319999999,-0.3306864,Heston
51.5919262,0.1820161,Romford
51.4024687,-0.1704997,Mitcham
51.51112620000001,0.2063758,Wennington
51.4508205,0.0633516,Eltham
51.44229139999999,-0.0446548,Forest Hill
51.5645473,0.2201696,Hornchurch
51.3140694,0.0341239,Biggin Hill
51.399452,-0.2443295,New Malden
